Day,Hour,Elevation Angle,Intensity,Absorbed Photons,Exciton Generation Rate,Final_Exciton_Rate_After_CMC,Excitonic Energy,Usable Electric Energy
5,12,36.373171103853416,1198867.4184208072,1.9645902948966703e+25,1.9645902948966703e+25,7.924785057895903e+24,19058.095118213547,13131.027536449134
5,13,36.74920254825171,1220223.6702929814,1.9995868962879304e+25,1.9995868962879304e+25,8.065954717800581e+24,19397.59010597837,13364.939583019095
5,14,33.33997503145378,1030096.3648398722,1.6880242886560951e+25,1.6880242886560951e+25,6.809170184163396e+24,16375.183944780027,11282.501737953438
5,15,26.758791279964377,692284.463988728,1.1344501638484046e+25,1.1344501638484046e+25,4.5761570393313216e+24,11005.072755199062,7582.495128332153
5,16,17.876698589523414,323539.5596057889,5.30185964728228e+24,5.30185964728228e+24,2.1386697379594728e+24,5143.227355026626,3543.6836476133453
5,17,7.4444954407941,60260.875779709764,9.874981161364498e+23,9.874981161364498e+23,3.9833803189331604e+23,957.9520511361885,660.0289632328338
5,18,-4.00784395230589,0.0,0.0,0.0,0.0,0.0,0.0
5,19,-16.130160655655075,0.0,0.0,0.0,0.0,0.0,0.0
5,20,-28.688823103893967,0.0,0.0,0.0,0.0,0.0,0.0
5,21,-41.514692874963345,0.0,0.0,0.0,0.0,0.0,0.0
5,22,-54.45388146545139,0.0,0.0,0.0,0.0,0.0,0.0
5,23,-67.26192739761453,0.0,0.0,0.0,0.0,0.0,0.0
6,0,-78.90470302995561,0.0,0.0,0.0,0.0,0.0,0.0
6,1,-80.64586339611051,0.0,0.0,0.0,0.0,0.0,0.0
6,2,-69.73326371304978,0.0,0.0,0.0,0.0,0.0,0.0
6,3,-57.01109740458381,0.0,0.0,0.0,0.0,0.0,0.0
6,4,-44.06854114264078,0.0,0.0,0.0,0.0,0.0,0.0
6,5,-31.20281230137543,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-18.572781898864065,0.0,0.0,0.0,0.0,0.0,0.0
6,7,-6.339903845314609,0.0,0.0,0.0,0.0,0.0,0.0
6,8,5.279201273381801,31773.2075832062,5.2066921076166956e+23,5.2066921076166956e+23,2.100280955407831e+23,505.09072398441134,348.0075088252594
6,9,15.962739028133171,260335.58756937436,4.266132859200725e+24,4.266132859200725e+24,1.720877173495902e+24,4138.489639737329,2851.4193617790193
6,10,25.221539233723675,620435.8724234914,1.0167115019061266e+25,1.0167115019061266e+25,4.101221582650825e+24,9862.913688132541,6795.54753112332
6,11,32.34657571298112,976373.2464271784,1.5999879341572889e+25,1.5999879341572889e+25,6.454048208606421e+24,15521.16098525642,10694.079918841673
6,12,36.466513844460394,1204160.7300504427,1.9732644722874806e+25,1.9732644722874806e+25,7.959775046167145e+24,19142.24156758558,13189.004440066465
6,13,36.87129249439984,1227175.7212844018,2.0109792585270863e+25,2.0109792585270863e+25,8.111909348789813e+24,19508.105119586537,13441.084427395122
6,14,33.48042256886012,1037758.6664197206,1.7005805422409748e+25,1.7005805422409748e+25,6.859819732342011e+24,16496.989634124348,11366.425857911674
6,15,26.90700407538573,699369.0351385579,1.1460596875627066e+25,1.1460596875627066e+25,4.6229876585700407e+24,11117.694408578429,7660.091447510537
6,16,18.0257274116494,328723.0978853152,5.386802559573587e+24,5.386802559573587e+24,2.1729340995339414e+24,5225.628764942527,3600.4582190454007
6,17,7.590908154420234,62521.900576874374,1.024549647479936e+24,1.024549647479936e+24,4.1328391769585505e+23,993.8949961081715,684.7936523185301
6,18,-3.865334538227131,0.0,0.0,0.0,0.0,0.0,0.0
6,19,-15.991710497329734,0.0,0.0,0.0,0.0,0.0,0.0
6,20,-28.5539289217742,0.0,0.0,0.0,0.0,0.0,0.0
6,21,-41.38223678817724,0.0,0.0,0.0,0.0,0.0,0.0
6,22,-54.32166962572515,0.0,0.0,0.0,0.0,0.0,0.0
6,23,-67.12503007593881,0.0,0.0,0.0,0.0,0.0,0.0
7,0,-78.75413610639524,0.0,0.0,0.0,0.0,0.0,0.0
7,1,-80.60317737986546,0.0,0.0,0.0,0.0,0.0,0.0
7,2,-69.76807044076347,0.0,0.0,0.0,0.0,0.0,0.0
7,3,-57.05983131449901,0.0,0.0,0.0,0.0,0.0,0.0
7,4,-44.117904682512744,0.0,0.0,0.0,0.0,0.0,0.0
7,5,-31.247520977525397,0.0,0.0,0.0,0.0,0.0,0.0
7,6,-18.609342484993476,0.0,0.0,0.0,0.0,0.0,0.0
7,7,-6.365009977656584,0.0,0.0,0.0,0.0,0.0,0.0
7,8,5.269373136937119,31665.049808743064,5.188968236672915e+23,5.188968236672915e+23,2.0931314816479225e+23,503.37136692972695,346.82287181458184
7,9,15.972944088339673,260655.75048649593,4.2713793856314077e+24,4.2713793856314077e+24,1.7229935228625735e+24,4143.579189452397,2854.9260615327016
7,10,25.257474710362374,622080.6072223076,1.0194067374040514e+25,1.0194067374040514e+25,4.112093652036971e+24,9889.059625338312,6813.5620818580965
7,11,32.41376801843038,979980.1419837095,1.605898572728484e+25,1.605898572728484e+25,6.477890604831887e+24,15578.498900643579,10733.585742543424
7,12,36.56714547839942,1209873.3244868165,1.982625730601736e+25,1.982625730601736e+25,7.997536588716054e+24,19233.053250735342,13251.57368975665
7,13,37.000466951968164,1234540.6031747407,2.0230481289146724e+25,2.0230481289146724e+25,8.160592885485312e+24,19625.182802609554,13521.75095099798
7,14,33.62722593830855,1045784.8340766735,1.7137330650652532e+25,1.7137330650652532e+25,6.912874517669125e+24,16624.5796113734,11454.335352236272
7,15,27.060569075108894,706737.8124216824,1.1581349413507787e+25,1.1581349413507787e+25,4.671696944693765e+24,11234.834015685034,7740.800636806987
7,16,18.179101318391517,334096.6204362561,5.474858754034962e+24,5.474858754034962e+24,2.208454300154671e+24,5311.0503072433385,3659.31366169066
7,17,7.740790915136216,64880.335310536335,1.0631974405361754e+24,1.0631974405361754e+24,4.288737052321336e+23,1031.3864424462786,710.6252588454859
7,18,-3.720065549438843,0.0,0.0,0.0,0.0,0.0,0.0
7,19,-15.851052263877719,0.0,0.0,0.0,0.0,0.0,0.0
7,20,-28.417224982626195,0.0,0.0,0.0,0.0,0.0,0.0
7,21,-41.248198824246884,0.0,0.0,0.0,0.0,0.0,0.0
7,22,-54.18785564661502,0.0,0.0,0.0,0.0,0.0,0.0
7,23,-66.98599247896175,0.0,0.0,0.0,0.0,0.0,0.0
