,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Day,Hour,Declination Angle,Elevation Angle,Air Mass Coeff,Sunlight Intensity Post Intake,Absorbed Photons,exciton_generation_rate,Final_Exciton_Rate_After_CMC,Excitonic Energy,Usable Electric Energy
84,84,84,84,84,4,12,-22.79793297779637,36.287152924071776,1.6865323988962757,1193994.2165500151,1.956604553560034e+25,1.956604553560034e+25,7.892572090242956e+24,18980.627048469738,13077.652036395648
85,85,85,85,85,4,13,-22.79383164348315,36.63424801297386,1.6728277619648526,1213685.9519080378,1.988873503053217e+25,1.988873503053217e+25,8.022738919144565e+24,19293.661634054035,13293.332865863229
86,86,86,86,86,4,14,-22.789717219237605,33.20595108648113,1.821842275333077,1022799.6128829388,1.6760670631459198e+25,1.6760670631459198e+25,6.760937001752245e+24,16259.189306246584,11202.581432003895
87,87,87,87,87,4,15,-22.785589708338204,26.61601300004916,2.2237538354998936,685485.2771671555,1.1233083009221055e+25,1.1233083009221055e+25,4.5312128751130495e+24,10896.987785017187,7508.0245838768415
88,88,88,88,88,4,16,-22.78144911407402,17.732105746498462,3.253183611386544,318546.0121429126,5.220030124418148e+24,5.220030124418148e+24,2.10566125869675e+24,5063.846181543597,3488.990019083538
89,89,89,89,89,4,17,-22.77729543974469,7.30164619795751,7.44348416066935,58095.68315630208,9.52016991625353e+23,9.52016991625353e+23,3.840256184555986e+23,923.5325262311636,636.3139105732716
90,90,90,90,90,4,18,-22.773128688660456,-4.147502410499882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,91,91,91,91,4,19,-22.768948864142093,-16.26631667332518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,92,92,92,4,20,-22.764755969520948,-28.8218294092426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,93,93,93,93,4,21,-22.760550008138942,-41.64549955920879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,94,94,94,94,4,22,-22.756330983348544,-54.58443740069842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,95,95,95,95,4,23,-22.75209889851273,-67.39664609383829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,96,96,96,96,5,0,-22.74785375700508,-79.05081832164495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,97,97,97,97,5,1,-22.743595562209624,-80.67956874018034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,98,98,98,98,5,2,-22.73932431752097,-69.6931076236585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99,99,99,99,5,3,-22.73504002634423,-56.95806313572234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100,100,100,100,5,4,-22.73074269209501,-44.015102140505405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,101,101,101,101,5,5,-22.72643231819943,-31.153942651672565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,102,102,102,102,5,6,-22.722108908094107,-18.53180757169844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,103,103,103,103,5,7,-22.717772465226133,-6.310011693299472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,104,104,104,104,5,8,-22.71342299305311,5.294289741988067,9.829585010256688,31939.62603473382,5.2339631861145614e+23,5.2339631861145614e+23,2.1112815918231688e+23,507.7362364321654,349.83026690176195
105,105,105,105,105,5,9,-22.709060495043083,15.958356614915374,3.595254822155936,260198.1544948456,4.263880736236431e+24,4.263880736236431e+24,1.7199687097585854e+24,4136.304900568917,2849.914076491984
106,106,106,106,106,5,10,-22.704684974674585,25.19203892670454,2.339390721622741,619086.9442370338,1.014501006247551e+25,1.014501006247551e+25,4.09230486194263e+24,9841.470114564572,6780.77290893499
107,107,107,107,107,5,11,-22.70029643543661,32.28637696329248,1.8676042003750788,973145.1657676024,1.5946980615345935e+25,1.5946980615345935e+25,6.432709864613067e+24,15469.844995419531,10658.723201844055
108,108,108,108,108,5,12,-22.69589488082858,36.373171103853416,1.683109515624985,1198867.4184208072,1.9645902948966703e+25,1.9645902948966703e+25,7.924785057895903e+24,19058.095118213547,13131.027536449134
109,109,109,109,109,5,13,-22.6914803143604,36.74920254825171,1.6683511049672275,1220223.6702929814,1.9995868962879304e+25,1.9995868962879304e+25,8.065954717800581e+24,19397.59010597837,13364.939583019095
110,110,110,110,110,5,14,-22.687052739552406,33.33997503145378,1.815396965756155,1030096.3648398722,1.6880242886560951e+25,1.6880242886560951e+25,6.809170184163396e+24,16375.183944780027,11282.501737953438
111,111,111,111,111,5,15,-22.682612159935346,26.758791279964377,2.212856424774756,692284.463988728,1.1344501638484046e+25,1.1344501638484046e+25,4.5761570393313216e+24,11005.072755199062,7582.495128332153
112,112,112,112,112,5,16,-22.67815857905041,17.876698589523414,3.228242128712067,323539.5596057889,5.30185964728228e+24,5.30185964728228e+24,2.1386697379594728e+24,5143.227355026626,3543.6836476133453
113,113,113,113,113,5,17,-22.67369200044922,7.4444954407941,7.31564594096404,60260.87577970976,9.874981161364498e+23,9.874981161364498e+23,3.98338031893316e+23,957.9520511361884,660.0289632328338
114,114,114,114,114,5,18,-22.669212427693783,-4.00784395230589,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,115,115,115,115,5,19,-22.66471986435653,-16.130160655655075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,116,116,116,116,5,20,-22.660214314020283,-28.688823103893967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,117,117,117,117,5,21,-22.655695780278258,-41.51469287496335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,118,118,118,118,5,22,-22.65116426673405,-54.45388146545139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,119,119,119,119,5,23,-22.646619777001625,-67.26192739761453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,120,120,120,120,6,0,-22.64206231470535,-78.90470302995561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,121,121,121,121,6,1,-22.637491883479903,-80.64586339611051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,122,122,122,122,6,2,-22.63290848697036,-69.73326371304978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,123,123,123,123,6,3,-22.62831212883213,-57.01109740458381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,124,124,124,124,6,4,-22.62370281273097,-44.06854114264078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,125,125,125,125,6,5,-22.61908054234294,-31.20281230137543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,126,126,126,126,6,6,-22.61444532135445,-18.572781898864065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,127,127,127,127,6,7,-22.60979715346225,-6.339903845314609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,128,128,128,128,6,8,-22.60513604237336,5.279201273381801,9.85298868665447,31773.2075832062,5.206692107616696e+23,5.206692107616696e+23,2.1002809554078316e+23,505.0907239844115,348.0075088252595
129,129,129,129,129,6,9,-22.60046199180512,15.962739028133171,3.594317991596517,260335.5875693744,4.266132859200725e+24,4.266132859200725e+24,1.720877173495902e+24,4138.489639737329,2851.4193617790193
130,130,130,130,130,6,10,-22.59577500548517,25.221539233723675,2.336859245595064,620435.8724234914,1.0167115019061266e+25,1.0167115019061266e+25,4.101221582650825e+24,9862.913688132541,6795.54753112332
131,131,131,131,131,6,11,-22.59107508715144,32.34657571298112,1.8645238143566647,976373.2464271784,1.5999879341572889e+25,1.5999879341572889e+25,6.454048208606421e+24,15521.16098525642,10694.079918841673
132,132,132,132,132,6,12,-22.586362240552145,36.4665138444604,1.679415056970148,1204160.7300504427,1.9732644722874806e+25,1.9732644722874806e+25,7.959775046167145e+24,19142.24156758558,13189.004440066465
133,133,133,133,133,6,13,-22.58163646944576,36.87129249439984,1.6636299351907782,1227175.7212844018,2.0109792585270863e+25,2.0109792585270863e+25,8.111909348789813e+24,19508.105119586537,13441.084427395122
134,134,134,134,134,6,14,-22.57689777760104,33.48042256886012,1.8087018359975249,1037758.6664197206,1.7005805422409748e+25,1.7005805422409748e+25,6.859819732342011e+24,16496.989634124348,11366.425857911674
135,135,135,135,135,6,15,-22.572146168797,26.90700407538573,2.2016702772000825,699369.0351385579,1.1460596875627066e+25,1.1460596875627066e+25,4.6229876585700407e+24,11117.694408578429,7660.091447510537
136,136,136,136,136,6,16,-22.56738164682288,18.0257274116494,3.2029488200455853,328723.0978853152,5.386802559573587e+24,5.386802559573587e+24,2.172934099533941e+24,5225.628764942526,3600.4582190454
137,137,137,137,137,6,17,-22.562604215478206,7.590908154420234,7.188955921692136,62521.90057687437,1.024549647479936e+24,1.024549647479936e+24,4.132839176958551e+23,993.8949961081718,684.7936523185303
138,138,138,138,138,6,18,-22.55781387857272,-3.865334538227131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,139,139,139,139,6,19,-22.55301063992639,-15.991710497329734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,140,140,140,140,6,20,-22.54819450336941,-28.5539289217742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,141,141,141,141,6,21,-22.54336547274219,-41.38223678817724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,142,142,142,142,6,22,-22.53852355189534,-54.32166962572515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,143,143,143,143,6,23,-22.533668744689685,-67.12503007593881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,144,144,144,144,7,0,-22.52880105499623,-78.75413610639524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,145,145,145,145,7,1,-22.52392048669616,-80.60317737986546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,146,146,146,146,7,2,-22.51902704368083,-69.76807044076347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,147,147,147,147,7,3,-22.5141207298518,-57.05983131449901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,148,148,148,148,7,4,-22.50920154912073,-44.11790468251274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,149,149,149,149,7,5,-22.5042695054095,-31.2475209775254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,150,150,150,150,7,6,-22.49932460265009,-18.60934248499348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,151,151,151,151,7,7,-22.49436684478464,-6.365009977656584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
