,Day,Hour,Declination Angle,Elevation Angle,Air Mass Coeff,Sunlight Intensity Post Intake
149,7,5,-22.5042695054095,-31.247520977525397,0.0,0.0
150,7,6,-22.49932460265009,-18.609342484993476,0.0,0.0
151,7,7,-22.494366844784633,-6.365009977656584,0.0,0.0
152,7,8,-22.489396235765387,5.269373136937119,9.868289665257613,31665.049808743064
153,7,9,-22.484412779554734,15.972944088339673,3.5921383951952923,260655.75048649593
154,7,10,-22.479416480125174,25.257474710362374,2.333783728066379,622080.6072223076
155,7,11,-22.474407341459308,32.41376801843038,1.8610999052704418,979980.1419837095
156,7,12,-22.46938536754984,36.56714547839942,1.6754551220025657,1209873.3244868165
157,7,13,-22.464350562399556,37.000466951968164,1.6586718630344317,1234540.6031747407
158,7,14,-22.459302930021334,33.62722593830855,1.8017675775291282,1045784.8340766735
159,7,15,-22.45424247443812,27.060569075108894,2.1902134449803206,706737.8124216824
160,7,16,-22.44916919968293,18.179101318391517,3.177345857290751,334096.6204362561
161,7,17,-22.444083109798846,7.740790915136216,7.063594808457578,64880.335310536335
162,7,18,-22.43898420883899,-3.720065549438843,0.0,0.0
163,7,19,-22.433872500866528,-15.851052263877719,0.0,0.0
164,7,20,-22.428747989954662,-28.417224982626195,0.0,0.0
165,7,21,-22.423610680186627,-41.248198824246884,0.0,0.0
166,7,22,-22.41846057565567,-54.18785564661502,0.0,0.0
167,7,23,-22.413297680465053,-66.98599247896175,0.0,0.0
