Simulated Date,Simulated Day,Hour of Day,Solar Declination Angle,Solar Elevation Angle (degrees),Sunlight Intensity (W/m^2),Concentration Factor,Intensity * Concentration factor (funnel),Absorbed Intensity by QPA,# of photons,Rate of exciton generation,Final_Exciton_Rate_After_CMC,Excitonic Energy,Usable Electric Energy
2023-01-04 15:00:00,3,15,-22.76258521613636,21.601000778498264,0.3681407929227135,100,36.81407929227135,4.982243848114662,1.754469147236674e+19,1.754469147236674e+19,7.077196155696088e+18,0.017019752147236472,0.017019752147236472
2023-01-04 16:00:00,3,16,-22.76258521613636,11.723945518531554,0.203196522402159,100,20.319652240215905,2.7499658911990914,9.683850207146613e+18,9.683850207146613e+18,3.906281712978429e+18,0.00939410821878457,0.00939410821878457
2023-01-04 17:00:00,3,17,-22.76258521613636,0.6368471708878709,0.0111148510966542,100,1.1114851096654248,0.1504231521298478,5.297066692987622e+17,5.297066692987622e+17,2.1367363509995475e+17,0.0005138577806513527,0.0005138577806513527
2023-01-04 18:00:00,3,18,-22.76258521613636,-11.245551512757356,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 19:00:00,3,19,-22.76258521613636,-23.649664661801573,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 20:00:00,3,20,-22.76258521613636,-36.386190114603146,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 21:00:00,3,21,-22.76258521613636,-49.3030579075248,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 22:00:00,3,22,-22.76258521613636,-62.21896828620805,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04 23:00:00,3,23,-22.76258521613636,-74.64380726731427,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05 00:00:00,4,0,-22.662912750907704,-82.39624675090775,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05 01:00:00,4,1,-22.662912750907704,-74.59014340988504,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05 02:00:00,4,2,-22.662912750907704,-62.18132550665153,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
